lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,pontoId
-8.04862,-34.95081,-81.19,-87.53142857142859,-84.76,-81.47,-90.8225,-89.33,-92.46,-98.012,-96.7925,3,4,5,9141
-8.04764,-34.945370000000004,-89.63285714285709,-90.09,-91.72357142857142,-76.64,-90.9375,-82.10428571428571,-87.8358333333333,-79.88,-96.92,4,3,7,9426
-8.05228,-34.94583,-92.97,-91.4828571428571,-89.72,-49.65,-70.4,-83.8728571428571,-89.9383333333333,-89.72399999999999,-97.6,5,1,6,7961
-8.05462,-34.95603,-92.02285714285709,-98.7371428571429,-93.52,-101.237857142857,-101.5175,-95.78,-91.81,-87.42,-91.77,6,5,1,7449
-8.05146,-34.9477,-93.54285714285709,-91.76142857142858,-96.82,-68.83,-87.96,-94.72,-97.84,-99.818,-97.6,4,2,5,8420
-8.04883,-34.9576,-77.7,-93.11142857142859,-77.3442857142857,-98.0933333333333,-94.9,-94.21,-89.9166666666667,-102.22866666666701,-92.84,4,6,3,9079
-8.05194,-34.94733,-88.72,-92.85,-91.99142857142859,-50.59,-80.3375,-76.1214285714286,-90.2616666666667,-97.146,-97.6,5,1,5,8182
-8.04701,-34.947559999999996,-93.89,-85.41428571428571,-90.64,-90.075,-104.47,-104.48,-101.63,-101.806,-94.4075,3,3,6,9527
-8.052810000000001,-34.95342,-89.18,-98.93285714285709,-89.75142857142859,-101.23166666666701,-100.9,-97.13857142857141,-101.75,-99.57600000000001,-97.765,4,4,2,7847
-8.05487,-34.956109999999995,-80.7,-98.7371428571429,-86.26,-100.909166666667,-99.975,-95.7442857142857,-86.125,-87.35799999999999,-89.71,6,5,1,7410
-8.047310000000001,-34.95397,-65.33,-89.21,-79.60178571428571,-91.4053333333333,-83.46,-85.47,-80.27944444444451,-102.82799999999999,-94.97,2,5,4,9471
-8.04842,-34.94697,-99.41857142857141,-88.79476190476191,-97.515,-80.0,-99.9125,-104.54,-96.5633333333333,-101.648,-96.56,3,2,6,9261
-8.04797,-34.94765,-99.98,-80.71,-96.885,-94.01,-97.685,-98.4728571428571,-106.07,-102.064,-94.4075,3,3,6,9384
-8.05362,-34.94846,-91.03,-89.8757142857143,-90.40428571428569,-65.33,-71.84,-87.91,-91.8933333333333,-92.398,-97.255,5,2,5,7691
-8.0556,-34.95422,-90.0257142857143,-96.2,-92.14857142857142,-97.65333333333331,-96.99,-93.12714285714279,-78.6366666666667,-68.34,-97.93,6,5,2,7046
-8.05552,-34.95552,-94.59714285714291,-97.3871428571429,-95.77142857142859,-98.165,-87.0725,-93.07285714285709,-73.0316666666667,-71.07,-91.79,6,5,1,7113
-8.04848,-34.95879,-81.33,-92.3842857142857,-83.01,-96.4233333333333,-97.4425,-95.1042857142857,-84.17,-106.544,-89.33,4,7,3,9219
-8.05097,-34.95057,-92.9142857142857,-94.1757142857143,-91.25714285714291,-87.2,-84.38,-86.23857142857142,-93.5516666666667,-95.58200000000001,-96.5925,4,3,4,8573
-8.04647,-34.94532,-89.2671428571429,-91.93,-93.34,-95.595,-90.9375,-84.135,-84.315,-78.44,-96.92,3,3,7,9601
-8.053289999999999,-34.9597,-83.47,-98.2457142857143,-85.59,-100.931666666667,-98.2575,-90.6057142857143,-81.955,-93.052,-72.1,6,7,1,7762
-8.058639999999999,-34.94923,-91.80142857142859,-93.04428571428569,-91.8728571428571,-95.9116666666667,-94.18,-82.56,-92.23,-84.34,-95.8575,7,3,4,6679
-8.047310000000001,-34.94758,-99.1,-85.97714285714291,-97.0857142857143,-94.64,-98.8375,-98.86,-99.6416666666667,-102.314,-94.4075,3,3,6,9472
-8.04786,-34.95412,-71.08,-84.83,-77.54035714285709,-91.65,-90.22,-91.85785714285721,-80.3211111111111,-102.82799999999999,-97.3275,2,5,4,9398
-8.0491,-34.95664,-83.2,-94.77,-78.81714285714291,-98.6366666666667,-95.3425,-94.68142857142858,-89.895,-102.22866666666701,-94.53,3,6,3,9020
-8.04646,-34.94527,-89.2671428571429,-86.09,-92.25357142857142,-92.8858333333333,-90.9375,-83.1001587301587,-88.5,-74.69,-96.92,3,3,7,9615
-8.04981,-34.95309,-94.95,-95.31857142857142,-84.89,-90.4496153846154,-88.89,-87.69547619047621,-91.8966666666667,-97.35799999999999,-95.3075,3,4,3,8850
-8.0541,-34.95758,-91.7,-99.3542857142857,-90.27285714285709,-103.1225,-101.565,-95.2242857142857,-63.55,-91.25,-76.83,6,6,1,7601
-8.04802,-34.94762,-96.99642857142858,-80.50428571428571,-93.99357142857141,-90.76,-97.685,-98.70142857142858,-109.65,-102.064,-94.4075,3,3,6,9375
-8.04875,-34.95969,-73.14,-88.4828571428571,-67.01,-91.15333333333331,-88.27,-93.7042857142857,-83.615,-104.36200000000001,-80.52,4,7,3,9097
-8.04921,-34.95302,-85.95,-89.82,-78.6871428571428,-91.39,-91.77,-91.14,-91.8966666666667,-98.26799999999999,-96.7675,3,4,4,8998
-8.04738,-34.947590000000005,-98.96142857142858,-81.88,-97.59142857142858,-94.26,-99.79,-100.36,-99.38,-102.212,-94.4075,3,3,6,9455
-8.050460000000001,-34.95406,-97.47,-98.4607142857143,-90.13875,-101.75,-97.775,-95.48571428571431,-88.5333333333333,-97.33,-95.66,3,5,3,8708
-8.051910000000001,-34.95982,-87.83,-95.68428571428569,-87.16857142857141,-99.26,-98.2575,-93.28464285714291,-88.77,-99.194,-71.33,5,7,2,8197
-8.05424,-34.95694,-89.9357142857143,-99.41857142857141,-90.59857142857142,-103.37583333333299,-101.565,-95.78,-72.1926666666667,-85.5005714285714,-87.1275,6,6,1,7565
-8.05185,-34.94786,-91.59,-94.09857142857142,-88.58285714285721,-58.13,-71.6175,-79.96,-90.3266666666667,-97.92399999999999,-97.6,4,2,5,8244
-8.055639999999999,-34.95451,-91.54125,-96.2,-92.65,-95.2383333333333,-90.945,-90.6342857142857,-74.895,-71.05199999999999,-96.6675,6,5,2,7006
-8.053360000000001,-34.948879999999996,-87.28,-89.54857142857142,-88.5557142857143,-69.21,-83.46,-79.89142857142859,-88.6833333333333,-91.602,-97.255,5,2,4,7752
-8.053230000000001,-34.948879999999996,-87.49285714285709,-89.08714285714291,-90.1228571428571,-67.33,-76.96,-83.10857142857141,-88.5633333333333,-91.13,-97.255,5,2,4,7773
-8.05183,-34.94643,-90.7028571428571,-93.17857142857142,-94.09142857142858,-48.09,-80.97,-86.11142857142859,-91.2083333333333,-92.3,-97.6,5,1,6,8255
-8.053889999999999,-34.94827,-91.97,-90.24214285714291,-95.6,-77.33,-76.09,-84.94571428571429,-91.4166666666667,-93.24799999999999,-97.255,5,2,5,7639
-8.05536,-34.95916,-84.9542857142857,-100.28857142857099,-82.80571428571429,-94.765,-100.225,-80.16,-86.7816666666667,-85.38,-77.04,7,7,1,7249
-8.049389999999999,-34.95561,-77.81,-95.44875,-82.76,-99.55,-97.57,-94.34142857142858,-85.3333333333333,-99.9346666666667,-93.28,3,5,3,8956
-8.05889,-34.9484,-84.92,-91.75,-85.8,-95.3128571428571,-64.92,-84.48,-92.43,-88.3658333333333,-95.8575,8,3,5,6659
-8.05159,-34.95327,-83.9557142857143,-91.26428571428569,-87.59,-84.7,-85.2025,-86.8142857142857,-93.69,-96.096,-95.605,4,4,3,8370
-8.05551,-34.9551,-95.08285714285721,-97.10285714285709,-92.35,-96.4766666666667,-89.2275,-89.6428571428571,-81.1183333333333,-63.75,-92.255,6,5,1,7129
-8.05532,-34.95622,-89.23095238095242,-98.7371428571429,-85.1232142857143,-96.4316666666667,-91.33,-93.45142857142858,-84.5483333333333,-71.94,-94.5992857142857,6,6,1,7269
-8.053239999999999,-34.95567,-93.84,-96.37857142857142,-86.9221428571429,-100.565,-99.5075,-96.6242857142857,-63.7933333333333,-82.73,-80.09,5,5,1,7770
-8.05561,-34.95411,-88.65,-96.2,-91.68428571428569,-97.49,-97.66,-93.4842857142857,-82.37,-69.126,-96.7025,6,5,2,7038
-8.051110000000001,-34.9506,-89.61714285714291,-91.83,-90.6942857142857,-86.77,-93.74,-88.90285714285709,-93.5516666666667,-95.58200000000001,-96.5925,4,3,4,8542
-8.05151,-34.947790000000005,-94.45,-93.7,-95.81142857142858,-73.88,-90.64,-91.9971428571429,-95.1083333333333,-98.464,-97.6,4,2,5,8402
-8.05162,-34.95985,-86.624,-95.68428571428569,-99.29,-99.26,-98.2575,-91.2,-89.87,-99.194,-86.96,5,7,2,8354
-8.056610000000001,-34.95524,-95.2757142857143,-99.05142857142859,-93.9542857142857,-98.32,-91.8025,-90.84142857142858,-83.9966666666667,-68.10600000000001,-87.7225,6,5,1,6779
